"","ORIGEN","AÑO_N","MES_N","AÑO","TRIMESTRES","TOTAL_KILOS_BRUTOS","TOTAL_KILOS_NETOS","I_DOLARES","I_PESOS"
"30","05",2005,2,5,1,101996838.494436,95834475.5033297,213303000.270609,498094111204.062
"31","08",2005,2,5,1,106709591.831204,105606363.855846,45263968.9800428,106007369623.647
"32","11",2005,2,5,1,27270221.6751931,25898052.021836,107068893.072314,250315806743.854
"33","13",2005,2,5,1,123192739.966424,121060238.561366,70290112.3139831,164399664576.289
"34","15",2005,2,5,1,27983903.4487812,27970452.4301361,14215277.3974609,33254939295.5586
"35","17",2005,2,5,1,12144173.0859563,11505121.128509,25824491.9317913,60403515998.3145
"36","18",2005,2,5,1,986.489990234375,662.25,9586,22658908
"37","19",2005,2,5,1,16294825.0106184,16159246.0426016,13715998.1099854,32131226821.8086
"38","20",2005,2,5,1,2903787997,2903785974,128354617.609375,300727980336
"39","23",2005,2,5,1,11281271.5999413,11273681.2500534,55857083.1312866,130587633419.625
"40","25",2005,2,5,1,191123005.628839,187086013.723464,169905669.909598,397753783439.742
"41","41",2005,2,5,1,27918174.7558594,27867802,17404476.3676758,40794179744.25
"42","44",2005,2,5,1,1852718932,1852718178,88844613.0345459,207327023191.188
"43","47",2005,2,5,1,45207756.1206248,43030242.7523634,17886164.3926849,41574533529.6882
"44","50",2005,2,5,1,4252,1491,20921.8001708984,49331610.75
"45","52",2005,2,5,1,11325152,11315845.9601746,6720078.67285156,15789507473
"46","54",2005,2,5,1,47561665.931718,47435132.4596687,4813647.63101134,11243106402.1741
"47","63",2005,2,5,1,5937104.90441334,5890704.6510458,14012647.5391617,33076642983.498
"48","66",2005,2,5,1,16473223.3622491,16232844.3607496,33417367.449173,78156318183.9619
"49","68",2005,2,5,1,10366709.9168361,10177436.1395012,25011802.7799542,58445602484.3789
"50","70",2005,2,5,1,44502354,44445023.03125,3382563.20507812,7909303528
"51","73",2005,2,5,1,5916153.39935255,5844955.66790253,15120263.9341736,35483020954.4844
"52","76",2005,2,5,1,122392387.127717,119051476.046103,110001392.397544,257459497775.658
"53","81",2005,2,5,1,658176,657597,1082885.6328125,2520692768
"54","85",2005,2,5,1,228,210,300,698235
"55","88",2005,2,5,1,32716.0499764457,25491.7095244024,709240.3984375,1650777804.99805
"56","91",2005,2,5,1,61095.6199569702,60488.8800392151,230068.619689941,541022363.625
"57","97",2005,2,5,1,61.4000015258789,50.1599998474121,559.200012207031,1321809
"58","99",2005,2,5,1,4226.25,4025,36141,85362150
"59","05",2005,3,5,1,177104703.975374,164892926.530148,258456989.477324,608715406760.016
"60","08",2005,3,5,1,79207485.857529,77826745.4673106,62550320.7796867,147758544758.066
"61","11",2005,3,5,1,29648320.0440961,28095856.9011008,124732238.233477,293546818127.119
"62","13",2005,3,5,1,115421631.327494,113797274.321702,78135351.9154064,183886113196.06
"63","15",2005,3,5,1,8507060.39924214,8490970.41978969,9375430.22670364,22136966640.2117
"64","17",2005,3,5,1,15133113.3231147,14302220.7330298,34285012.8976333,80543456567.6115
"65","19",2005,3,5,1,17520770.8437777,17383867.5895426,12768055.7830811,30099762055.6094
"66","20",2005,3,5,1,2436051504,2436049899,119251020.679688,281330163592
"67","23",2005,3,5,1,13606195.770153,13591672.7997894,72791568.8638153,172034315418.844
"68","25",2005,3,5,1,144064669.513477,140388333.193172,136542989.421092,321365132365.334
"69","41",2005,3,5,1,6254239.10279846,6205974.46990967,15460545.0831299,36335096651.5938
"70","44",2005,3,5,1,2218876598.68002,2218875632.86,105155444.108917,248023312127.125
"71","47",2005,3,5,1,38609140.3536673,36174945.1906004,17729621.9304047,41949723795.2305
"72","50",2005,3,5,1,10924.2299804688,4542.74002075195,272794.886108398,642899924.625
"73","52",2005,3,5,1,10543857.3000398,10534070.6806335,5365269.34051514,12648167067.6992
"74","54",2005,3,5,1,29032530.5241457,28868125.4397039,5419456.08405972,12713841039.877
"75","63",2005,3,5,1,4701261.69766808,4658021.5823555,12227876.6584625,28992903720.9316
"76","66",2005,3,5,1,13209759.6899257,13016206.3403694,24340510.8873453,57283828949.4087
"77","68",2005,3,5,1,11407266.3734099,11217036.9790975,39211027.6234773,92207020816.8355
"78","70",2005,3,5,1,22646996.9700005,22599088.8699982,2632096.29034424,6199068518.36914
"79","73",2005,3,5,1,5047367.73342872,4968749.7588805,13767291.6880255,32428136353.8203
"80","76",2005,3,5,1,151319453.474484,147357699.35186,134147545.987316,315288494973.959
"81","81",2005,3,5,1,776000,776000,1225240,2886937088
"82","85",2005,3,5,1,230,145,3414,8106406.5
"83","88",2005,3,5,1,11928.4800007623,11922.8503124993,450527.921875,1056369885.625
"84","91",2005,3,5,1,5956.42988157272,5849.72999835014,38449.2199859619,90779269.171875
"85","05",2005,4,5,2,209320391.601502,193840860.572636,262070793.498621,614806404189.068
"86","08",2005,4,5,2,114876264.793,113577854.206669,58288414.7498072,136961521979.361
"87","11",2005,4,5,2,40691097.6802819,38886500.7125851,161554083.258977,379553760588.832
"88","13",2005,4,5,2,161323917.46735,159558788.598378,86890962.225035,203654628684.737
"89","15",2005,4,5,2,14610995.0400844,14595454.3800923,8467576.67129517,19917271295.3125
"90","17",2005,4,5,2,18739835.4257489,17782526.5906142,38093558.8521694,89357272819.483
"91","18",2005,4,5,2,343.529998779297,312.299987792969,18027.44921875,42466184
"92","19",2005,4,5,2,14010395.5366592,13856564.2270317,11456387.4092407,26907408326.625
"93","20",2005,4,5,2,2295787448.94,2295779910,113650033.395626,266993393855.094
"94","23",2005,4,5,2,10787727.1124802,10777489.4093781,58005371.7941895,136364729139.5
"95","25",2005,4,5,2,166945171.425306,162756541.908932,158402040.558283,371743672823.523
